Intent,Utterance
who-is-your-daddy,who is your grand father
who-is-your-favourite-actor,who is your favourite actor
who-is-your-favourite-actress,who is your favourite actress
who-made-you,who made you
who-questions,who is nashrulla
who-questions,who is rajesh kumar
who-questions,who is Md Nasrullah Khan
who-questions,who is rajesh kumar kovuri
who-questions,who is rajdeep ghosh
who-questions,who is sumanth
who-questions,who is rajesh's manager
who-questions,who reports to rajesh
who-questions,who is my manager
who-questions,who reports to me
who-questions,i want to know whom i report to 
who-questions,i want to know the manager of nasrullah
who-questions,tell me about hemanth
who-questions,tell me about nasrullah
who-questions,tell me about rajdeep
who-questions,i want to know the manager of rajdeep
who-questions,who is Aneshwa K
who-questions,who is rajdeep gosh
who-questions,tell me about @rajdeepghosh 
who-questions,tell me about @nasrullah
who-questions,who reports to me
who-questions,who all are reporting to me
who-questions,show me my reportees
who-questions,who is rajesh kumar kovuri reporting manager
who-questions,my boss
who-questions,who is nasrulla reporting manager
who-questions,who reports to nasrullah
who-questions,who is the reporting manager of nasrullah
who-questions,who are all reports to nasrullah
who-questions,who is above @mdnasrullahk 
who-questions,who is below @mdnasrullahk 
who-questions,who is above rajdeep
who-questions,who is above velraja
who-questions,who is above hemanth kishore
who-questions,who is above rajesh kumar
who-questions,who is below me
who-questions,who is under me
who-questions,who is under nasrullah
who-questions,who is under rajdeeo
who-questions,who is under rajdeep
who-questions,who is unde namrata
who-questions,who is under namrata
who-questions,who is below namrata
who-questions,who is below rajdeep
who-questions,who are my direct reportees
who-questions,get my manager details
who-questions,get my reportees
who-questions,Who is Mukesh's Manager
who-questions,Who does Rajdeep report to
who-questions,Whom does Rajdeep report to
who-questions,Who is the manager of Rajdeep
who-questions,Who manages Rajdeep
who-questions,Who is the boss of Rajdeep
who-questions,What is Rajdeep's manager name
who-questions,What is the name of Rajdeep's manager
who-questions,"Manager can be replaced with Boss, Supervisor etc."
who-questions,Rajdeep is a direct report of which employee
who-questions,Rajdeep is whose direct report
who-questions,Rajdeep reports to whom?
who-questions,Who reports to Rajdeep
who-questions,Who all report to Rajdeep
who-questions,Who belongs to Rajdeep's team
who-questions,Whom does Rajdeep's team contain
who-questions,Whom does Rajdeep's team comprise of
who-questions, Whom does Rajdeep's team constitute
who-questions,Who are in Rajdeep's team
who-questions,Whom does Rajdeep have as direct reports
who-questions,Whom does Rajdeep have as reportees
who-questions,Who are the employees who report to Rajdeep
who-questions,Rajdeep's team has which members
who-questions, Rajdeep's team has which employees
who-questions,Who are the members of Rajdeep team
who-questions,who is g v prasad
who-questions,who is mukesh rathi
who-questions,who is hemanth kishore dasari
who-questions,who is sravan kumar
who-questions,who is velraja
who-questions,reporting associates
who-questions,who are my reporting associates
who-questions,who are nasrullahs reporting associates
who-questions,reporting associates
who-questions,What is email ID of Anurag
who-questions,I want to know the Job title of Anurag
who-questions,I want to know the department of Anurag
who-questions,What is designation of shubhi
who-questions,Designation of gaurav
who-questions,I want to get contact details of Anurag
who-questions,Contact details of Jagdish
who-questions,I want contact details of Raghu
who-questions,Mobile number of Raghu
who-questions,Show me designation of Raghu
who-questions,i want to know about
who-questions,i want to know about mahesh
who-questions,which department does @bamitha  work in
who-questions,who is my l+1
who-questions,who is my l-1
who-questions,who is my plus one
who-questions,who is my plus 1
who-questions,who is my l 1
who-questions,my ceo
who-questions,my chro
who-questions,I want to know about rajdeep
who-questions,tell me about rajdeep
who-questions,tell me about my ceo
who-questions,show rajdeep's bio
who-questions,show rajdeep's data
who-questions,show rajdeep's details
who-questions,swhow my CEO's data
who-questions,show my CEO's profile
who-questions,show rajesh's reportees
who-questions,what is rajesh's email ID
who-questions,rajesh's phone number
who-questions,contact number of rajesh
who-questions,rajesh's job location
who-questions,job location of rajesh
who-questions,rajesh mail id
who-questions,rajesh phone number
who-questions,Phone no. of @rajesh.k 
who-questions,where does rajesh work out of
who-questions,Show my CEO's profile
who-questions,Email ID of rajesh
who-questions,what is @rajesh.k  location
who-questions,Show CEO's profile data
who-questions,Show profile of global PSAI head	
who-questions,search for @rajdeep
who-questions,I want to know about nasrullah
who-questions,i would like to know about @kovuri
who-questions,employee search
who-questions,searching an employee
who-questions,search for colleagues
who-questions,get reportees
who-questions,reportees of @mdnasrullahk 
who-questions,get reportees of @mdnasrullahk 
who-questions,reportees
who-questions,his reportees
who-questions,reportees of nasrullah
who-questions,reportees
who-should-be-contacted-in-case-of-queries-for-payslip-and-leave,Who should be contacted in case of queries for payslip and leave
who-should-be-contacted-in-case-of-queries-for-payslip-and-leave,whom to contact incase of queries for payslip and leave
who-should-be-contacted-in-case-of-queries-for-payslip-and-leave,who should i contact incase queries for payslip and leave
who-should-be-contacted-in-case-of-queries-for-payslip-and-leave,who should i contact incase of queries for payslip and leave
who-should-be-contacted-in-case-of-queries-for-payslip-and-leave,"I have issue regarding my leave balance, whom should I contact?"
who-should-be-contacted-in-case-of-queries-for-payslip-and-leave,"My leave balance is showing less leaves, whom can I ask regarding this?"
whos-your-boss-master,Who’s your boss / master?
why-are-we-removing-designations,Why are we removing designations?
why-are-we-removing-designations,why designations are removed?
why-are-we-removing-designations,why remove designations?
why-are-we-removing-designations,why replace designations
why-are-we-removing-designations,removing  designations
why-are-we-removing-designations,no designation
why-are-we-removing-designations,why no designation
why-are-we-removing-designations,why removing designations
why-are-we-removing-designations,i have a client facing role
why-are-we-removing-designations,what happens to my designations
why-are-we-removing-designations,What do I print on my visiting card
why-are-we-removing-designations,What should I print on my visiting card
why-are-we-removing-designations,Can I not use my old designation
why-are-we-removing-designations,using my old designations
why-are-you-here,whats your purpose of existece
why-are-you-here,whats your purpose of existence
why-many-sub-bands-at-junior-level,Why are there so many sub bands at junior level?
why-many-sub-bands-at-junior-level,why so many bands at junior level
why-many-sub-bands-at-junior-level,why are there so many bands
why-promotion-and-progression,Why there are two things - promotion  progression
why-promotion-and-progression,why there are two things promotion and progression
why-role-banding,Why is the role band change exercise being conducted
why-role-banding,is role banding needed
why-role-banding,role banding means?
why-role-banding,can i know about role band 
why-role-banding,can i know about role banding 
why-role-banding,can i know about role band rainbow
why-role-banding,define the role banding
why-role-banding,define the role bands
why-role-banding,define role banding
why-role-banding,define role bands
why-role-banding,knowledge about role bands
why-role-banding,explain me about role band
why-role-banding,explain me about role banding
why-role-banding,new role banding
why-role-banding,new role band
why-role-banding,role bands
why-role-banding,why role binding
why-role-banding,why change role
why-role-banding,i want to know about role banding 
why-role-banding,role banding means
will-my-compensation-reduce,will my compensation reduce? 
will-my-compensation-reduce,In the new band structure if I am pegged at a lower band will my compensation reduce? 
will-my-compensation-reduce,reduction in compensation
will-my-salary-increase,Will my salary increase
will-my-salary-increase,what will be my salary after role band
will-my-salary-increase,what will happen to my salary
will-my-salary-increase,do i get increment if my role band is changed 
will-my-salary-increase,increment if my role band is changed 
will-my-salary-increase,do i get increment if role band is changed 
will-my-salary-increase,do i get salary correction if i get progression
will-my-salary-increase,How salary restructured to be done
will-my-salary-increase,salary restructuring
will-my-salary-increase,when will my salary be increased
you-are-an-idiot,you are an idiot
you-are-crazy,you are crazy
you-are-just-a-bot-you-are-not-a-person,you are just a person
you-are-just-a-bot-you-are-not-a-person,you're not a human
you-are-just-a-bot-you-are-not-a-person,you're a bot
you-are-just-a-bot-you-are-not-a-person,who are you
you-are-just-a-bot-you-are-not-a-person,who are you
you-are-just-a-bot-you-are-not-a-person,can you tell me who you are
you-are-just-a-bot-you-are-not-a-person,tell me about yourself
you-are-just-a-bot-you-are-not-a-person,who are you
you-are-so-cute,you are so cute
you-idiot,you idiot
you-must-be-an-idiot,you must be an idiot
your-favourite-actor,Your favourite actor
your-favourite-actor,favourite actor
your-favourite-actor,fav hero
your-favourite-actor,who's acting do you like the most
your-favourite-actor,fav actor
your-favourite-actor,Favorite actor
your-favourite-actor,your favourite actor 
your-favourite-actress,Your favourite Actress
your-favourite-actress,tell me about your fav actress
your-favourite-actress,fav actress
your-favourite-actress,favorite actress
your-favourite-actress,your favourite actress 
your-favourite-city,Your favourite city
your-favourite-city,which actress do you like the most
your-favourite-city,which actor do you like the most
your-favourite-city,favorite city
your-favourite-city,fav city
your-favourite-cricketer,Your favourite cricketer
your-favourite-cricketer,whom do you like in cricket
your-favourite-cricketer,Favorite cricketer
your-favourite-cricketer,favorite cricketer
your-favourite-cricketer,favorite sportsperson
your-favourite-cricketer,fav cricket
